User	Text	Date	Retweet Count	Reply To
bearyear	Ireland Debt Clock :: National Debt of Ireland http://t.co/gc2aEwIjk9 #vinb	2015-06-24 22:54:33	2	None
tnteacherTim	@GCraughwell Excellent point, Gerard. I propose all politicians must avail of Public |health Service ONLY.. #vinb	2015-06-24 22:54:25	2	GCraughwell
ATMH1994	Terrifying story on the cover of Examiner tomorrow morning about surge of Dementia patients here. Result of aging population or? #vinb	2015-06-24 22:54:24	0	None
GubbageMan	#vinb at least Michael Healy-Rae speaks from the heart. Unlike @EndaKennyTD et. al. who speak through their ass. Roll on GE15, payback	2015-06-24 22:54:11	0	None
TomRandles1	#vinb @vincentbrowne what happened your questioning of Martin Ferris. Cannot believe it was edited out. Going soft. Best part of the night	2015-06-24 22:54:01	0	None
Boglawyer	@ATMH1994 Impressive for an amoeba perhaps    #vinb	2015-06-24 22:53:57	0	ATMH1994
john003	#vinb Healy Rae and Ming are true post-modern politicians	2015-06-24 22:53:51	0	None
ArAghaidh	Well at least Sarah knows the name of the hotel #gleneagle #vinb	2015-06-24 22:53:47	0	None
eyezopen32	#vinb why do they have a performance at the end.if u have to have it, have it at the start	2015-06-24 22:53:45	0	None
ReclaimTheVoice	BREAKING   #TV3 announce a new talent search show, being led by Vincent Brown in the Simon Cowell role, other judges, M'Lod, O'Murchu #vinb	2015-06-24 22:53:29	0	None
donegal2015	#vinb HSE  could save a lot of money if it sorted out administration far too many pen pushers. #fg #ff # lab	2015-06-24 22:52:39	0	None
Samarkandiana	#VINB Ceol den scoth!  Ciarraí Abú!	2015-06-24 22:52:34	0	None
LuddLite	I had an orgasm, vote for me. #VinB	2015-06-24 22:52:33	0	None
irelandsmind	#vinb my second born child lives and works in Canada because of #ff #fg and #lab, fecking sure his child won't have to emigrate.	2015-06-24 22:52:28	4	None
RayMcGrath	Well, that dance was mercifully short. #vinb #PeoplesDebate	2015-06-24 22:52:21	0	None
nomorequangos	Did you get a return train ticket? #vinb	2015-06-24 22:52:20	0	None
IrelandUncut	LOVE the Trad !  #PeoplesDebate #VinB	2015-06-24 22:52:19	0	None
JFTAXI	The more I see of Kenny &amp; Noonan, I can't help thinking what a lucky escape those kids had, not being taught by them pair of amadains. #vinb	2015-06-24 22:52:14	1	None
AndrewSB49	Income increases 1986 to 2010 ... #vinb http://t.co/RhTJ3y45GR	2015-06-24 22:52:09	10	None
BazCullen	Sure we'll all have a sing and a dance and it'll all be ok. #vinb	2015-06-24 22:52:08	0	None
Uibh_fhaili	Griffin FG TD wont have financial issues with raising his offspring unlike many others who his party are fond of attacking #vinb	2015-06-24 22:52:06	4	None
FCTwenteBenson	The Labour TD from Kerry was very quiet all night #vinb	2015-06-24 22:52:05	0	None
markgarrigan1	Jesus the music from Dallas is wrecking me head Healy rea#vinb	2015-06-24 22:52:00	0	None
gercollins17	Hiding seek champion for tonight @SpringAJ still missing #vinb	2015-06-24 22:51:59	2	None
zylon9	Griffin is in politics to ensure a good future for HIS kids.That's the problem with FGers they don't think about other peoples kids #vinb	2015-06-24 22:51:59	11	None
MartinaGrey1	Ah jaysus diddly eye to finish #vinb	2015-06-24 22:51:50	0	None
ATMH1994	I'll pay for round two of the Rose of Tralee from a drunk Vincent drinking Bulmers out of his shoe with his tie around his forehead #vinb	2015-06-24 22:51:47	0	None
whitey_claire	Now who's for a song? #vinb	2015-06-24 22:51:28	0	None
ReclaimTheVoice	Goota love the Healy -Rae's....every time they speak, tis like listening to a Munster Final on the radio....  #vinb	2015-06-24 22:51:23	1	None
nmaher36	Two hours of halls pictorial weekly.. Yeehahh #vinb	2015-06-24 22:51:13	0	None
